FBgn_ID,Gene_Symbol,Summary
FBgn0041626,Or19a,Odorant receptor 19a (Or19a) encodes a multi-transmembrane chemoreceptor that mediates response to volatile chemicals.
FBgn0052350,Vps11,"Vacuolar protein sorting 11 (Vps11) encodes a Class C Vps core subunit of HOPS, a heterohexameric tethering complex that consists of the products of car, dor, lt, Vps11, Vps16A and Vps39. HOPS tethers autophagosomes or late endosomes with lysosomes to facilitate fusion. The product of Vps11 roles include autophagosome-lysosome fusion, late endosome-lysosome fusion and biosynthetic trafficking to lysosomes."
FBgn0040372,G9a,"G9a (G9a) encodes a histone-lysine methyltransferase involved in epigenetic regulation. It contributes to multiple processes including gene expression, dendrite morphogenesis, larval locomotory behavior as well as short and long-term memory."
FBgn0029521,Or1a,Odorant receptor 1a (Or1a) encodes a multi-transmembrane chemoreceptor that mediates response to volatile chemicals.
FBgn0004034,y,yellow (y) is the founding gene of the Yellow family. Lack of y function results in an abnormal male courtship behavior and a characteristic yellow color of the adult cuticle and larval mouthparts.
FBgn0000022,ac,achaete (ac) encodes a BHLH transcription factor that interacts antagonistically with the Notch signaling pathway to promote neural precursor formation. Its major role is in nervous system development.
FBgn0004170,sc,"scute (sc) is a proneural gene of the achaete-scute complex. It encodes a transcription factor involved in nervous system development, Notch signalling and sex determination."
FBgn0000137,ase,"asense (ase) encodes a transcription factor in the achaete-scute complex. It acts together with other proneural genes in nervous system development, which involves N-mediated lateral inhibition. ase is expressed in the CNS type-I neuroblasts and the PNS sensory organ precursors (SOPs) but not in the proneural clusters that give rise to the SOP via lateral inhibition."
FBgn0023535,Arg,Arginase (Arg) encodes an enzyme that converts arginine into ornithine. Lack of Arg produces a developmental embryonic delay.
FBgn0010019,Cyp4g1,Cytochrome P450-4g1 (Cyp4g1) encodes the terminal oxidative decarbonylase in cuticular hydrocarbon biosynthesis within oenocytes.
FBgn0025638,Roc1a,Regulator of cullins 1a (Roc1a) encodes a C2H2 type zinc finger protein and component of several Cullin-Ring E3 ubiquitin ligase complexes. It binds directly to the Cullin subunit within the CRL complex and functions to recruit ubiquitin-charged E2 proteins.
FBgn0015799,Rbf,"Retinoblastoma-family protein (Rbf) encodes a protein that binds to members of the E2F transcription factors and forms the DREAM complex, which regulates genes with diverse biological functions including cell cycle regulators, apoptosis regulators, and DNA replication/repair factors. The product of Rbf can also bind chromosomal proteins and modulate genome stability. It is negatively regulated by CycE-Cdk2 and CycD-Cdk4 cyclin-dependent kinase complexes."
FBgn0015288,RpL22,"Ribosomal protein L22 (RpL22) encodes a member of the eukaryotic ribosomal protein eL22 family. It is ubiquitously expressed, forms part of the large ribosomal subunit and is involved in protein synthesis."
FBgn0025639,Hmt4-20,"Histone methyltransferase 4-20 (Hmt4-20) encodes a di- and trimethyltransferase, acting on the lysine 20 residue of monomethylated Histone H4."
FBgn0040347,mus81,mus81 (mus81) encodes the catalytic subunit of the Mus81-mms4 structure-selective endonuclease that functions in DNA repair.
FBgn0026143,Cdc45,Cell division cycle 45 (Cdc45) encodes a protein that contributes to 3'-5' DNA helicase activity of the Cdc45/Mcm2-7/GINS complex. It is involved in chromosome condensation and the regulation of the mitotic G1/S transition.
FBgn0004650,fs(1)N,"female sterile (1) Nasrat (fs(1)N) encodes encodes a protein that is required, along with the products of fs(1)M3 and clos, for their accumulation at the vitelline membrane and function in vitelline membrane integrity and Torso receptor activation."
FBgn0023169,AMPKalpha,"AMP-activated protein kinase alpha subunit (AMPKalpha) encodes the alpha subunit of the AMP-activated protein kinase (AMPK) complex. In general AMPK helps cells conserve energy through inhibition of energy consuming processes (fatty acid synthesis, protein synthesis). AMPK is usually active when the TOR pathway is inhibited."
FBgn0027794,Lrpprc2,Leucine-rich pentatricopeptide repeat containing 2 (Lrpprc2) encodes an RNA-binding protein that forms a complex with the product of SLIRP2. It localizes to the mitochondrial matrix where it functions to coordinate mitochondrial translation.
FBgn0000826,png,"pan gu (png) encodes a Ser/Thr kinase that controls the translation of hundreds of mRNAs, such as CycB and smg, during the oocyte-to-embryo transition. The activation of the product of png requires the formation of a complex with the two activating subunits encoded by plu and gnu."
FBgn0025641,DAAM,"Dishevelled Associated Activator of Morphogenesis (DAAM) encodes a formin type of actin assembly factor regulated by Rho GTPases. It plays a role in tracheal tube length regulation, tracheal cuticle pattern formation, growth cone filopodia formation, sarcomerogenesis and axonal growth regulation in embryonic and mushroom body neurons."
FBgn0028550,Atf3,"Activating transcription factor 3 (Atf3) encodes a transcription factor whose levels are tightly controlled during development. It forms homodimers or heterodimerizes with the product of Jra. It contributes to abdominal morphogenesis, and immune system and metabolic homeostasis."
FBgn0040368,eIF4E7,eukaryotic translation initiation factor 4E7 (eIF4E7) encodes a protein involved in translational initiation.
FBgn0025381,rush,rush hour (rush) encodes an endosome-associated protein that directly binds phosphatidylinositol 3-phosphate (PI3P) and the Rab GDP dissociation inhibitor encoded by Gdi. rush product regulates endosomal trafficking by modulating the activity of Rab proteins.
FBgn0025394,inc,insomniac (inc) encodes a BTB domain-containing protein that is essential in neurons for normal sleep-wake cycles.
FBgn0025391,Scgdelta,Sarcoglycan delta (Scgdelta) encodes a transmembrane protein that is required for normal muscle structure and function. It contributes to sarcomere organization and heart contraction.
FBgn0025382,Rab27,Rab27 (Rab27) encodes a Rab GTPase involved in exosomal secretion.
FBgn0023509,mip130,"Myb-interacting protein 130 (mip130) encodes a subunit of the MuvB core complex. The MuvB core binds to the oncoprotein encoded by Myb and the Rbf-E2f2-Dp tumor suppressor complex, thereby controlling the expression of many genes, including critical regulators of the cell cycle."
FBgn0023510,Rbcn-3B,"Rabconnectin-3B (Rbcn-3B) encodes a protein that is part of a regulatory subunit of the Vacuolar H[+] ATPase required for acidification of intracellular vesicles and the lysosome. It involved in endocytic trafficking and lysosome function, and mutations block Notch signaling in follicle cells and imaginal disc cells."
FBgn0023508,Ocrl,"Oculocerebrorenal syndrome of Lowe (Ocrl) encodes an inositol polyphosphate 5-phosphatase that regulates PtdIns(4,5)P2 homeostasis by dephosphorylating PtdIns(4,5)P2 on endocytic compartments. In vitro experiments also suggest a role of the product of Ocrl during cytokinesis."
FBgn0025625,Sik2,Salt-inducible kinase 2 (Sik2) encodes a serine/threonine kinase that is activated by the product of Lkb1. It regulates lipid storage and energy homeostasis by controlling the activity of cAMP-response element-binding protein (CREB)-regulated transcription coactivator (CRTC).
FBgn0000667,Actn,"alpha actinin (Actn) encodes an actin cross-linking protein with muscle and non-muscle specific isoforms, which are produced by alternative spicing. The muscle isoform has a role in muscle development while the non-muscle isoform localizes to ovarian ring canals and has a role in cytoskeletal remodeling of follicle cells."
FBgn0023512,eIF2Bepsilon,eukaryotic translation initiation factor 2B subunit epsilon (eIF2Bepsilon) encodes a guanyl-nucleotide exchange factor.
FBgn0023511,Edem1,"ER degradation enhancer, mannosidase alpha-like 1 (Edem1) encodes a lectin in the endoplasmic reticulum (ER) lumen that helps to recognize specific misfolded glycoproteins in this cellular compartment for retro-translation to the cytoplasm and ubiquitin-mediated degradation. This process is referred to as ""ER-Associated Degradation""."
